offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
236598635291214404	2014-12-08T00:00:00+03:00	2018-03-07T00:00:00+03:00	17000.0	9	False	1	False	36.0	7.0	18.0	50.0	11.0	2	2	Россия, Санкт-Петербург, проспект Энергетиков, 72	8559021731583808668
5883217246924455681	2017-11-22T00:00:00+03:00	2018-06-09T00:00:00+03:00	5150000.0	2	False	3	False	59.1	6.4	37.7			1	2	Россия, Санкт-Петербург, проспект Шаумяна, 46	1176823170275665865
7119559868601315429	2015-05-19T00:00:00+03:00	2016-02-09T00:00:00+03:00	8648000.0	2	False	4	False	94.0				0.0	1	2	Россия, Санкт-Петербург, Малый проспект В.О., 33	2124065154193516643
5153850351443047172	2018-06-06T00:00:00+03:00	2018-08-09T00:00:00+03:00	6740000.0	14	False	2	False	64.6	15.5	25.2			1	2	Россия, Санкт-Петербург, проспект Маршала Блюхера, 7к2	5300783671416269860
7340091001890476780	2017-09-08T00:00:00+03:00	2018-03-20T00:00:00+03:00	5100000.0	5	False	3	False	61.0	6.4	44.0	100.0		1	2	Россия, Санкт-Петербург, улица Кустодиева, 20к2	4351721643086024651
5356258582263384673	2016-07-05T00:00:00+03:00	2018-03-11T00:00:00+03:00	10250804.0	7	False	3	False	87.6	12.0	49.8		5.0	1	2	Россия, Санкт-Петербург, Кременчугская улица, 13к1	9078299753075955873
8257118872943794901	2017-12-02T00:00:00+03:00	2018-01-01T00:00:00+03:00	30000.0	10	False	2	False	51.0	7.0	40.0	100.0		2	2	Россия, Санкт-Петербург, проспект Большевиков, 7к3	6967020089089321101
8452270806807366070	2017-01-23T00:00:00+03:00	2018-02-07T00:00:00+03:00	6650000.0	9	False	2	False	65.0	9.6	35.8		0.0	1	2	Россия, Санкт-Петербург, улица Оптиков, 52к2А	533457895271033674
8257118873837643321	2018-03-31T00:00:00+03:00	2018-04-30T00:00:00+03:00	18000.0	13	False	1	False	42.0	10.0	16.0	100.0		2	2	Россия, Санкт-Петербург, проспект Художников, 35	6598364140011990569
5672704375476113664	2017-10-01T00:00:00+03:00	2018-06-21T00:00:00+03:00	2700000.0	6	False	0	True	24.3		15.4			1	2	Россия, Санкт-Петербург, Среднерогатская улица, 10к1	9064651785751779347
2554639205084821859	2016-12-07T00:00:00+03:00	2018-02-07T00:00:00+03:00	20500000.0	5	False	4	False	180.0	32.0	95.0		0.0	1	2	Россия, Санкт-Петербург, Яхтенная улица, 1к1	789694191900323538
5281546	2016-02-02T00:00:00+03:00	2016-02-09T00:00:00+03:00	23000.0	12	False	1	False	48.0	10.0	19.0		3.0	2	2	Россия, Санкт-Петербург, Искровский проспект, 22	3355019522853978583
1121352501496115712	2017-12-01T00:00:00+03:00	2018-05-18T00:00:00+03:00	8790000.0	3	False	2	False	75.0	14.4	40.2		2.0	1	2	Россия, Санкт-Петербург, проспект Энгельса, 4	1181251170679460320
6279287594130509685	2017-06-22T00:00:00+03:00	2018-07-26T00:00:00+03:00	8703200.0	1	False	3	False	93.78	14.1	51.8			1	2	Россия, Санкт-Петербург, Кушелевская дорога, 3к11	4155896670242509738
6302977522901419807	2016-10-11T00:00:00+03:00	2017-06-09T00:00:00+03:00	40000.0	7	False	2	False	50.0		39.0		0.0	2	2	Россия, Санкт-Петербург, Яхтенная улица, 3к2	789694191900325461
8678940264136498688	2018-06-20T00:00:00+03:00	2018-08-20T00:00:00+03:00	4499000.0	5	False	2	False	44.4	6.8	27.59		3.0	1	2	Россия, Санкт-Петербург, Дунайский проспект, 42/79к1	5749563695893911669
7194462943109037312	2017-11-29T00:00:00+03:00	2018-01-12T00:00:00+03:00	18000.0	11	False	0	True	26.0		18.0	100.0		2	2	Россия, Санкт-Петербург, Пулковская улица, 8к1	7607343749731169582
9174606537144951329	2017-10-26T00:00:00+03:00	2018-05-17T00:00:00+03:00	23000.0	2	False	2	False	45.0	5.0	29.0		6.0	2	2	Россия, Санкт-Петербург, Алтайская улица, 29	6325802637859127155
5109974	2015-07-09T00:00:00+03:00	2016-01-26T00:00:00+03:00	4700000.0	15	False	1	False	42.0	10.0	19.0		0.0	1	2	Россия, Санкт-Петербург, проспект Авиаконструкторов, 20к1	6175835586918808796
5655149706585466368	2017-02-04T00:00:00+03:00	2018-08-17T00:00:00+03:00	3400999.0	5	False	0	True	28.0		18.0		3.0	1	2	Россия, Санкт-Петербург, Парашютная улица, 58	6764007629705051410
3376106656009206375	2017-02-23T00:00:00+03:00	2017-05-27T00:00:00+03:00	85000.0	3	False	3	False	85.0	10.0	55.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Большая Московская улица, 7	7221017211929200373
7720827842151216384	2017-12-09T00:00:00+03:00	2018-01-23T00:00:00+03:00	2350000.0	2	False	3	False	59.0					1	2	Россия, Ленинградская область, Выборг, Михайловская улица, 12	2172382058736984864
636991887797389312	2017-08-25T00:00:00+03:00	2018-08-20T00:00:00+03:00	2750000.0	13	False	1	False	36.04	9.0	19.0		2.0	1	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, Новая улица, 7к4	1435952942574912763
5639023943053642314	2015-09-25T00:00:00+03:00	2018-08-15T00:00:00+03:00	13398070.0	4	False	2	False	73.9	12.24	37.29		4.0	1	2	Россия, Санкт-Петербург, улица Мира, 37	4146658307118152074
1721526	2015-03-14T00:00:00+03:00	2016-02-16T00:00:00+03:00	16000.0	4	False	1	False	32.0			100.0	3.0	2	2	Россия, Санкт-Петербург, улица Верности, 28к3	6319345258361526990
3616775379969571841	2017-11-20T00:00:00+03:00	2018-06-03T00:00:00+03:00	1900000.0	1	False	0	True	16.0				3.0	1	2	Россия, Санкт-Петербург, 16-я линия Васильевского острова, 35	1741523940501726572
6276742484651262410	2017-08-23T00:00:00+03:00	2017-10-02T00:00:00+03:00	22000.0	4	False	1	False	36.0	11.0	16.0		0.0	2	2	Россия, Санкт-Петербург, улица Адмирала Трибуца, 10	4057022322744352756
5246855	2016-01-29T00:00:00+03:00	2016-02-01T00:00:00+03:00	8600.0	3	False	1	False	38.0				0.0	2	2	Россия, Ленинградская область, Всеволожск, микрорайон Южный, улица Доктора Сотникова, 7	3059945372440390709
5152213486698831698	2016-09-21T00:00:00+03:00	2016-09-30T00:00:00+03:00	6053373.0	4	False	1	False	44.2	9.7	22.8		0.0	1	2	Россия, Санкт-Петербург, Кременчугская улица	5914633141613300908
6299591463055073968	2017-02-22T00:00:00+03:00	2017-05-16T00:00:00+03:00	150000.0	2	False	5	False	200.0		160.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Каменноостровский проспект, 15	5622402749203138932
